Albany NY, USA,                        1.8,  2.6,  3.6,  4.7,  5.5,  6.0,  6.1,  5.2,  4.1,  2.8,  1.7,  1.4
Albuquerque NM, USA,                   3.2,  4.2,  5.4,  6.8,  7.7,  8.1,  7.5,  6.9,  5.9,  4.7,  3.5,  2.9
Alpena MI, USA,                        1.6,  2.5,  3.7,  4.7,  5.7,  6.2,  6.1,  5.1,  3.8,  2.5,  1.5,  1.2
Amarillo TX, USA,                      3.0,  3.8,  4.9,  6.1,  6.6,  7.1,  7.0,  6.3,  5.2,  4.4,  3.2,  2.7
Anchorage AK, USA,                     0.3,  1.0,  2.3,  3.6,  4.6,  4.9,  4.6,  3.5,  2.2,  1.1,  0.4,  0.2
Annapolis MD, USA,                     1.89, 2.65, 3.62, 4.62, 5.26, 5.77, 5.68, 5.16, 4.17, 3.14, 2.12, 1.69
Asheville NC, USA,                     2.5,  3.3,  4.3,  5.4,  5.8,  6.0,  5.8,  5.3,  4.5,  3.8,  2.7,  2.2
Atlanta GA, USA,                       2.6,  3.4,  4.5,  5.7,  6.2,  6.4,  6.2,  5.7,  4.8,  4.1,  2.9,  2.4
Atlantic City NJ, USA,                 2.0,  2.8,  3.9,  4.9,  5.6,  6.1,  5.9,  5.3,  4.4,  3.3,  2.2,  1.8
Augusta ME, USA,                       1.68, 2.58, 3.59, 4.42, 5.0,  5.34, 5.32, 4.89, 3.76, 2.49, 1.61, 1.43
Austin TX, USA,                        3.0,  3.8,  4.7,  5.4,  5.9,  6.6,  6.8,  6.3,  5.2,  4.4,  3.3,  2.8
Baltimore MD, USA,                     2.1,  2.9,  3.9,  4.9,  5.6,  6.2,  6.0,  5.3,  4.4,  3.3,  2.2,  1.8
Baton Rouge LA, USA,                   2.6,  3.5,  4.4,  5.4,  5.9,  6.0,  5.7,  5.4,  4.8,  4.3,  3.0,  2.5
Billings MT, USA,                      1.7,  2.6,  3.8,  5.0,  5.9,  6.7,  7.0,  6.1,  4.5,  3.1,  1.9,  1.4
Binghamton NY, USA,                    1.7,  2.5,  3.5,  4.5,  5.3,  5.8,  5.8,  5.0,  3.9,  2.7,  1.7,  1.4
Bismarck ND, USA,                      1.7,  2.6,  3.8,  4.9,  6.0,  6.6,  6.8,  5.8,  4.2,  2.8,  1.7,  1.4
Boise ID, USA,                         1.6,  2.5,  3.8,  5.3,  6.5,  7.2,  7.6,  6.6,  5.1,  3.4,  1.9,  1.4
Boston MA, USA,                        1.9,  2.7,  3.7,  4.7,  5.6,  6.1,  6.1,  5.4,  4.3,  3.0,  1.9,  1.5
Brownsville TX, USA,                   2.9,  3.7,  4.6,  5.3,  5.8,  6.4,  6.5,  6.0,  5.2,  4.5,  3.4,  2.7
Buffalo NY, USA,                       1.6,  2.4,  3.4,  4.5,  5.5,  6.1,  6.0,  5.2,  3.9,  2.6,  1.6,  1.3
Burlington VT, USA,                    1.6,  2.6,  3.6,  4.6,  5.5,  6.0,  6.1,  5.2,  4.0,  2.6,  1.6,  1.2
Cape Hatteras NC, USA,                 2.4,  3.3,  4.4,  5.6,  6.1,  6.4,  6.2,  5.6,  4.8,  3.7,  2.8,  2.2
Carson City NV, USA,                   2.06, 2.97, 4.35, 5.55, 6.73, 7.38, 7.31, 6.39, 5.16, 3.68, 2.37, 1.90
Charleston SC, USA,                    2.7,  3.5,  4.7,  5.9,  6.2,  6.2,  6.1,  5.5,  4.7,  4.1,  3.1,  2.5
Charleston WV, USA,                    2.0,  2.7,  3.7,  4.8,  5.6,  6.0,  5.8,  5.3,  4.3,  3.3,  2.1,  1.7
Charlotte NC, USA,                     2.5,  3.3,  4.4,  5.5,  6.0,  6.3,  6.1,  5.6,  4.7,  3.9,  2.8,  2.3
Chattanooga TN, USA,                   2.4,  3.1,  4.1,  5.3,  5.8,  6.1,  5.9,  5.5,  4.5,  3.8,  2.6,  2.1
Cheyenne WY, USA,                      2.2,  3.1,  4.2,  5.3,  6.0,  6.7,  6.7,  5.9,  4.9,  3.6,  2.4,  1.9
Chicago IL, USA,                       1.8,  2.6,  3.5,  4.6,  5.7,  6.3,  6.1,  5.4,  4.2,  3.0,  1.8,  1.5
Cincinnati OH, USA,                    1.72, 2.43, 3.39, 4.52, 5.13, 5.77, 5.79, 5.22, 4.35, 3.11, 1.92, 1.5
Cleveland OH, USA,                     1.6,  2.4,  3.3,  4.6,  5.6,  6.2,  6.1,  5.3,  4.1,  2.8,  1.7,  1.3
Colorado Springs CO, USA,              2.5,  3.4,  4.5,  5.7,  6.2,  6.9,  6.7,  6.0,  5.1,  4.0,  2.8,  2.3
Columbia MO, USA,                      2.2,  3.0,  4.0,  5.2,  6.0,  6.6,  6.6,  5.9,  4.6,  3.5,  2.3,  1.9
Columbia SC, USA,                      2.6,  3.4,  4.5,  5.7,  6.1,  6.3,  6.1,  5.5,  4.8,  4.0,  2.9,  2.4
Columbus OH, USA,                      1.8,  2.5,  3.5,  4.6,  5.5,  6.0,  5.9,  5.3,  4.3,  3.1,  1.9,  1.5
Concord NH, USA,                       1.9,  2.8,  3.9,  4.7,  5.6,  6.1,  6.1,  5.3,  4.2,  2.9,  1.8,  1.5
Corpus Christi TX, USA,                2.8,  3.6,  4.4,  5.0,  5.5,  6.1,  6.3,  5.8,  5.0,  4.3,  3.3,  2.7
Dallas TX, USA,                        2.50, 3.23, 4.19, 5.26, 5.61, 6.24, 6.54, 5.79, 4.94, 3.84, 2.70, 2.25
Denver CO, USA,                        2.4,  3.3,  4.4,  5.6,  6.2,  6.9,  6.7,  6.0,  5.0,  3.8,  2.6,  2.1
Des Moines IA, USA,                    2.0,  2.8,  3.8,  4.9,  5.8,  6.5,  6.5,  5.7,  4.4,  3.2,  2.1,  1.7
Detroit MI, USA,                       1.6,  2.5,  3.4,  4.6,  5.6,  6.2,  6.1,  5.3,  4.1,  2.8,  1.7,  1.3
Dodge City KS, USA,                    2.7,  3.6,  4.7,  5.9,  6.5,  7.2,  7.2,  6.3,  5.1,  4.0,  2.8,  2.4
Dover DE, USA,                         1.89, 2.65, 3.62, 4.62, 5.26, 5.77, 5.68, 5.16, 4.17, 3.14, 2.12, 1.69
Duluth MN, USA,                        1.6,  2.6,  3.8,  4.8,  5.6,  6.0,  6.1,  5.1,  3.7,  2.5,  1.5,  1.2
El Paso TX, USA,                       3.5,  4.5,  5.9,  7.1,  7.8,  8.0,  7.4,  6.8,  5.9,  4.9,  3.8,  3.2
Ely NV, USA,                           2.6,  3.4,  4.5,  5.8,  6.6,  7.5,  7.3,  6.5,  5.6,  4.1,  2.8,  2.2
Evansville IN, USA,                    2.1,  2.9,  3.8,  5.0,  5.9,  6.5,  6.3,  5.7,  4.6,  3.5,  2.3,  1.8
Fairbanks AK, USA,                     0.1,  0.8,  2.3,  4.0,  5.1,  5.6,  5.1,  3.7,  2.3,  1.0,  0.3,  0.0
Fargo ND, USA,                         1.6,  2.5,  3.7,  4.7,  5.7,  6.2,  6.4,  5.5,  4.0,  2.7,  1.6,  1.3
Fort Smith AR, USA,                    2.6,  3.4,  4.4,  5.4,  6.0,  6.5,  6.6,  6.0,  4.8,  3.9,  2.8,  2.3
Fort Wayne IN, USA,                    1.8,  2.6,  3.5,  4.6,  5.6,  6.2,  6.1,  5.3,  4.3,  3.0,  1.8,  1.4
Fort Worth TX, USA,                    2.9,  3.7,  4.7,  5.6,  6.2,  6.9,  7.0,  6.4,  5.2,  4.2,  3.1,  2.7
Frankfort KY, USA,                     1.75, 2.45, 3.53, 4.69, 5.21, 5.83, 5.79, 5.25, 4.47, 3.25, 2.05, 1.54
Fresno CA, USA,                        2.32, 3.23, 4.58, 5.86, 6.95, 7.69, 7.64, 6.90, 5.45, 4.04, 2.65, 2.13
Grand Junction CO, USA,                2.5,  3.5,  4.6,  6.0,  7.0,  7.7,  7.4,  6.6,  5.5,  4.1,  2.7,  2.2
Grand Rapids MI, USA,                  1.6,  2.5,  3.5,  4.7,  5.7,  6.3,  6.2,  5.3,  4.1,  2.7,  1.6,  1.3
Great Falls MT, USA,                   1.4,  2.4,  3.7,  4.9,  5.8,  6.7,  7.1,  5.9,  4.3,  2.8,  1.7,  1.2
Green Bay WI, USA,                     1.7,  2.6,  3.7,  4.7,  5.7,  6.3,  6.1,  5.2,  3.9,  2.7,  1.6,  1.4
Greensboro NC, USA,                    2.4,  3.2,  4.3,  5.4,  6.0,  6.3,  6.1,  5.5,  4.6,  3.7,  2.7,  2.2
Greenville SC, USA,                    2.6,  3.3,  4.4,  5.6,  6.0,  6.3,  6.0,  5.5,  4.7,  3.9,  2.8,  2.3
Guam PI, USA,                          4.4,  4.8,  5.5,  5.8,  5.7,  5.5,  5.1,  4.9,  4.9,  4.6,  4.4,  4.2
Harrisburg PA, USA,                    2.0,  2.8,  3.8,  4.8,  5.5,  6.1,  5.9,  5.3,  4.3,  3.2,  2.0,  1.6
Hartford CT, USA,                      1.9,  2.7,  3.7,  4.6,  5.4,  5.9,  5.9,  5.1,  4.1,  3.0,  1.9,  1.5
Helena MT, USA,                        1.5,  2.3,  3.5,  4.8,  5.8,  6.5,  7.0,  5.9,  4.4,  2.9,  1.7,  1.2
Honolulu HI, USA,                      3.9,  4.7,  5.4,  5.9,  6.4,  6.5,  6.6,  6.5,  5.9,  5.0,  4.1,  3.7
Houston TX, USA,                       2.7,  3.4,  4.2,  5.0,  5.6,  6.0,  5.9,  5.6,  4.9,  4.2,  3.1,  2.5
Huron SD, USA,                         1.8,  2.6,  3.7,  4.9,  5.8,  6.5,  6.6,  5.8,  4.4,  3.0,  1.9,  1.5
Indianapolis IN, USA,                  2.0,  2.8,  3.7,  4.9,  5.9,  6.5,  6.3,  5.6,  4.6,  3.3,  2.1,  1.6
Jackson MS, USA,                       2.6,  3.5,  4.5,  5.5,  6.1,  6.4,  6.2,  5.8,  4.9,  4.2,  3.0,  2.4
Jacksonville FL, USA,                  2.9,  3.7,  4.7,  5.9,  6.1,  6.0,  5.8,  5.4,  4.6,  4.0,  3.2,  2.7
Jefferson City MO, USA,                1.91, 2.59, 3.64, 4.64, 5.33, 5.90, 6.07, 5.37, 4.51, 3.22, 2.02, 1.64
Juneau AK, USA,                        0.41, 0.97, 2.07, 3.46, 4.68, 5.1,  4.71, 3.85, 2.5,  1.38, 0.6,  0.31
Kansas City MO, USA,                   2.2,  3.0,  3.9,  5.1,  5.9,  6.5,  6.6,  5.8,  4.6,  3.6,  2.3,  1.9
Key West FL, USA,                      3.7,  4.4,  5.5,  6.3,  6.3,  6.1,  6.1,  5.8,  5.2,  4.6,  3.8,  3.4
Knoxville TN, USA,                     2.3,  3.0,  4.0,  5.2,  5.8,  6.2,  5.9,  5.5,  4.5,  3.7,  2.5,  2.0
Lander WY, USA,                        2.2,  3.2,  4.4,  5.6,  6.4,  7.1,  7.0,  6.3,  5.0,  3.6,  2.3,  1.9
Lansing MI, USA,                       1.6,  2.5,  3.5,  4.6,  5.6,  6.2,  6.1,  5.2,  4.0,  2.7,  1.7,  1.3
Las Vegas NV, USA,                     3.0,  4.0,  5.4,  6.9,  7.8,  8.4,  7.9,  7.2,  6.2,  4.7,  3.4,  2.8
Lincoln NE, USA,                       1.90, 2.58, 3.55, 4.53, 5.35, 6.16, 6.20, 5.35, 4.39, 3.11, 2.04, 1.64
Little Rock AR, USA,                   2.5,  3.3,  4.3,  5.3,  6.1,  6.5,  6.4,  5.9,  4.8,  3.9,  2.7,  2.2
Los Angeles CA, USA,                   2.8,  3.6,  4.8,  6.1,  6.4,  6.6,  7.1,  6.5,  5.3,  4.2,  3.2,  2.6
Louisville KY, USA,                    2.0,  2.8,  3.8,  5.0,  5.8,  6.3,  6.1,  5.6,  4.5,  3.5,  2.2,  1.7
Lubbock TX, USA,                       3.1,  3.9,  5.1,  6.2,  6.7,  7.1,  7.0,  6.3,  5.2,  4.4,  3.3,  2.8
Lynchburg VA, USA,                     2.4,  3.2,  4.3,  5.4,  6.0,  6.5,  6.2,  5.6,  4.7,  3.7,  2.6,  2.1
Macon GA, USA,                         2.7,  3.5,  4.6,  5.7,  6.2,  6.3,  6.0,  5.6,  4.8,  4.1,  3.0,  2.5
Madison WI, USA,                       1.9,  2.8,  3.7,  4.7,  5.8,  6.4,  6.2,  5.4,  4.1,  2.8,  1.7,  1.5
Memphis TN, USA,                       2.5,  3.2,  4.2,  5.4,  6.1,  6.6,  6.5,  6.0,  4.8,  4.0,  2.7,  2.2
Meridian MS, USA,                      2.6,  3.4,  4.4,  5.4,  5.9,  6.2,  5.9,  5.6,  4.8,  4.1,  2.9,  2.4
Miami FL, USA,                         3.5,  4.2,  5.2,  6.0,  6.0,  5.6,  5.8,  5.6,  4.9,  4.4,  3.7,  3.3
Milwaukee WI, USA,                     1.8,  2.6,  3.5,  4.6,  5.8,  6.4,  6.3,  5.4,  4.1,  2.9,  1.8,  1.4
Missoula MT, USA,                      1.3,  2.1,  3.2,  4.5,  5.5,  6.3,  6.9,  5.8,  4.2,  2.7,  1.4,  1.1
Mobile AL, USA,                        2.7,  3.5,  4.4,  5.4,  5.9,  5.9,  5.6,  5.2,  4.7,  4.2,  3.1,  2.5
Moline IL, USA,                        1.9,  2.7,  3.6,  4.7,  5.7,  6.4,  6.3,  5.5,  4.3,  3.2,  2.0,  1.6
Montgomery AL, USA,                    2.7,  3.5,  4.5,  5.7,  6.2,  6.4,  6.1,  5.7,  4.9,  4.2,  3.0,  2.5
Montpelier VT, USA,                    1.9,  2.8,  3.7,  4.7,  5.8,  6.4,  6.2,  5.4,  4.1,  2.8,  1.7,  1.5
Nashville TN, USA,                     2.3,  3.1,  4.1,  5.4,  6.0,  6.5,  6.3,  5.7,  4.7,  3.8,  2.5,  2.0
New Orleans LA, USA,                   2.7,  3.6,  4.5,  5.5,  6.1,  6.1,  5.7,  5.5,  4.9,  4.3,  3.1,  2.6
New York, USA,                         1.9,  2.7,  3.8,  4.9,  5.7,  6.1,  6.0,  5.4,  4.3,  3.2,  2.0,  1.6
Nome AK, USA,                          0.2,  0.8,  2.3,  4.3,  5.3,  5.5,  4.6,  3.3,  2.1,  1.0,  0.3,  0.1
Norfolk VA, USA,                       2.3,  3.0,  4.1,  5.1,  5.8,  6.2,  5.9,  5.4,  4.5,  3.5,  2.5,  2.0
Oklahoma City OK, USA,                 2.8,  3.5,  4.6,  5.7,  6.2,  6.8,  6.9,  6.2,  5.0,  4.0,  2.9,  2.4
Olympia WA, USA,                       1.0,  1.7,  2.8,  4.0,  5.0,  5.6,  5.9,  5.1,  3.8,  2.2,  1.2,  0.9
Omaha NE, USA,                         2.1,  2.9,  3.9,  5.0,  5.9,  6.7,  6.6,  5.7,  4.5,  3.3,  2.1,  1.7
Orlando FL, USA,                       3.18, 3.92, 5.10, 6.36, 7.03, 6.42, 6.81, 6.16, 5.10, 4.37, 3.52, 2.98
Peoria IL, USA,                        2.0,  2.8,  3.6,  4.8,  5.8,  6.4,  6.3,  5.5,  4.4,  3.2,  2.0,  1.6
Philadelphia PA, USA,                  2.0,  2.8,  3.8,  4.8,  5.5,  6.1,  6.0,  5.4,  4.4,  3.2,  2.1,  1.7
Phoenix AZ, USA,                       3.2,  4.3,  5.5,  7.1,  8.0,  8.4,  7.6,  7.1,  6.1,  4.9,  3.6,  3.0
Pierre SD, USA,                        1.8,  2.7,  3.9,  5.0,  6.0,  6.7,  6.8,  6.0,  4.5,  3.1,  2.0,  1.5
Pittsburgh PA, USA,                    1.7,  2.5,  3.5,  4.6,  5.5,  6.1,  5.9,  5.2,  4.2,  3.0,  1.8,  1.4
Pocatello ID, USA,                     1.7,  2.6,  3.8,  5.1,  6.2,  7.0,  7.3,  6.3,  5.0,  3.5,  2.0,  1.5
Portland ME, USA,                      1.9,  2.8,  3.8,  4.7,  5.6,  6.1,  6.0,  5.4,  4.2,  2.9,  1.8,  1.5
Portland OR, USA,                      1.2,  1.9,  3.0,  4.2,  5.3,  5.9,  6.3,  5.4,  4.1,  2.5,  1.4,  1.0
Providence RI, USA,                    1.9,  2.7,  3.7,  4.7,  5.6,  6.0,  5.9,  5.2,  4.2,  3.1,  1.9,  1.6
Raleigh NC, USA,                       2.4,  3.2,  4.4,  5.5,  6.0,  6.3,  6.1,  5.5,  4.6,  3.8,  2.7,  2.2
Rapid City SD, USA,                    1.9,  2.8,  4.0,  5.1,  6.0,  6.7,  6.8,  6.1,  4.7,  3.3,  2.1,  1.6
Reno NV, USA,                          2.3,  3.2,  4.5,  5.9,  7.0,  7.6,  7.8,  6.9,  5.7,  4.1,  2.6,  2.1
Richmond VA, USA,                      2.3,  3.0,  4.1,  5.2,  5.8,  6.3,  6.0,  5.4,  4.5,  3.5,  2.5,  2.0
Rochester NY, USA,                     1.6,  2.4,  3.4,  4.6,  5.5,  6.1,  6.0,  5.2,  4.0,  2.7,  1.6,  1.3
Sacramento CA, USA,                    1.9,  3.0,  4.3,  5.9,  7.2,  7.9,  7.9,  7.0,  5.7,  4.0,  2.4,  1.7
Salem OR, USA,                         1.3,  2.0,  3.1,  4.4,  5.5,  6.1,  6.6,  5.7,  4.4,  2.7,  1.4,  1.1
Salt Lake City UT, USA,                1.9,  2.9,  4.1,  5.4,  6.5,  7.4,  7.3,  6.5,  5.2,  3.7,  2.2,  1.7
San Antonio TX, USA,                   3.1,  3.9,  4.8,  5.5,  6.0,  6.7,  6.9,  6.4,  5.4,  4.5,  3.4,  2.9
San Diego CA, USA,                     3.1,  3.9,  4.9,  6.1,  6.3,  6.5,  6.9,  6.5,  5.4,  4.4,  3.4,  2.9
San Francisco CA, USA,                 2.2,  3.0,  4.2,  5.7,  6.7,  7.2,  7.3,  6.5,  5.4,  3.9,  2.5,  2.0
San Juan PR, USA,                      4.3,  4.9,  5.7,  6.1,  5.8,  6.1,  6.1,  6.0,  5.5,  4.9,  4.3,  4.0
Santa Fe NM, USA,                      2.53, 3.3,  4.5,  5.49, 6.3,  6.66, 5.94, 5.25, 4.9,  3.9,  2.92, 2.38
Savannah GA, USA,                      2.8,  3.5,  4.7,  5.8,  6.2,  6.3,  6.1,  5.5,  4.7,  4.1,  3.1,  2.6
Seattle WA, USA,                       1.0,  1.7,  2.8,  4.1,  5.3,  5.8,  6.1,  5.2,  3.8,  2.2,  1.2,  0.8
Sheridan WY, USA,                      1.8,  2.7,  3.9,  5.0,  5.8,  6.7,  6.9,  6.0,  4.6,  3.1,  2.0,  1.6
Shreveport LA, USA,                    2.6,  3.4,  4.4,  5.4,  6.0,  6.4,  6.4,  6.0,  5.0,  4.1,  3.0,  2.5
Sioux City IA, USA,                    1.9,  2.8,  3.8,  4.9,  5.8,  6.6,  6.5,  5.7,  4.4,  3.2,  2.0,  1.6
Spokane WA, USA,                       1.3,  2.0,  3.2,  4.6,  5.8,  6.5,  7.0,  5.9,  4.4,  2.7,  1.4,  1.1
Springfield IL, USA,                   2.1,  2.9,  3.7,  5.0,  6.0,  6.5,  6.4,  5.7,  4.6,  3.4,  2.2,  1.7
Springfield MO, USA,                   2.4,  3.1,  4.1,  5.2,  5.9,  6.4,  6.6,  5.9,  4.7,  3.7,  2.5,  2.0
St. Louis MO, USA,                     2.2,  2.9,  3.9,  5.0,  5.9,  6.4,  6.4,  5.7,  4.6,  3.5,  2.3,  1.8
St. Paul MN, USA,                      1.8,  2.7,  3.8,  4.7,  5.7,  6.3,  6.3,  5.4,  4.1,  2.8,  1.7,  1.4
Syracuse NY, USA,                      1.7,  2.5,  3.5,  4.6,  5.5,  6.1,  6.0,  5.2,  4.0,  2.7,  1.6,  1.3
Tallahassee FL, USA,                   2.9,  3.7,  4.7,  5.9,  6.3,  6.1,  5.8,  5.5,  4.9,  4.3,  3.3,  2.7
Tampa FL, USA,                         3.2,  4.0,  5.1,  6.2,  6.4,  6.1,  5.8,  5.5,  4.9,  4.4,  3.6,  3.1
Toledo OH, USA,                        1.7,  2.6,  3.5,  4.7,  5.8,  6.3,  6.2,  5.4,  4.3,  3.0,  1.8,  1.4
Topeka KS, USA,                        2.3,  3.0,  4.0,  5.1,  5.9,  6.5,  6.6,  5.8,  4.6,  3.5,  2.4,  1.9
Trenton NJ, USA,                       1.84, 2.64, 3.58, 4.51, 5.21, 5.74, 5.59, 5.03, 4.05, 2.99, 1.98, 1.61
Tucson AZ, USA,                        3.4,  4.4,  5.6,  7.1,  7.9,  8.1,  7.1,  6.7,  6.0,  5.0,  3.8,  3.2
Tucumcari NM, USA,                     3.0,  3.9,  5.1,  6.4,  7.0,  7.5,  7.2,  6.5,  5.5,  4.5,  3.3,  2.7
Tulsa OK, USA,                         2.5,  3.3,  4.3,  5.3,  5.9,  6.4,  6.7,  6.0,  4.7,  3.8,  2.7,  2.2
Washington DC, USA,                    1.87, 2.61, 3.58, 4.61, 5.27, 5.75, 5.65, 5.08, 4.11, 3.14, 2.10, 1.64
Wichita KS, USA,                       2.5,  3.3,  4.3,  5.4,  6.1,  6.7,  6.8,  6.1,  4.9,  3.8,  2.6,  2.2
Wilkes-Barre PA, USA,                  1.8,  2.5,  3.6,  4.6,  5.4,  6.0,  5.9,  5.2,  4.1,  2.9,  1.8,  1.4
Winnemucca NV, USA,                    2.1,  2.9,  4.1,  5.5,  6.6,  7.4,  7.7,  6.7,  5.5,  3.8,  2.3,  1.9
Worcester MA, USA,                     1.9,  2.8,  3.8,  4.7,  5.5,  6.0,  5.9,  5.2,  4.2,  3.0,  1.9,  1.5
